node,degree_centrality,clustering,pagerank,betweenness_centrality,local_heterogeneity
0,0.08593363051015354,0.04196165314587463,0.006289602618466542,0.1232444228408384,3.039104868436504
1,0.004210004952947003,0.41911764705882354,0.00023590202311540972,0.0,1.5944244018175473
2,0.0024764735017335313,0.8888888888888888,0.00020310565091694567,0.0,1.9867078911975982
3,0.004210004952947003,0.6323529411764706,0.00022552359869430614,2.229930350793054e-06,1.2570982352592603
4,0.0024764735017335313,0.8666666666666667,0.00023849264701222462,0.0,2.382049699433287
5,0.0032194155522535907,0.3333333333333333,0.00020234812068977809,0.0,1.7265494530776218
6,0.0014858841010401188,0.9333333333333333,0.00018001867135639642,0.0,1.9966647122989745
7,0.004952947003467063,0.43157894736842106,0.00026267667111515796,0.00010328235252462427,1.6389163118365517
8,0.001981178801386825,0.6785714285714286,0.00023737300152657922,0.0,2.333399148046941
9,0.014115898959881128,0.39724310776942356,0.0006001572433028075,3.5695139186821217e-06,1.072075895969133
10,0.0024764735017335313,0.8222222222222222,0.00013504865958890368,0.0,1.1396171755140367
11,0.00024764735017335313,0.0,5.2591423276218314e-05,0.0,0.0
12,0.00024764735017335313,0.0,5.2591423276218314e-05,0.0,0.0
13,0.007677067855373947,0.6516129032258065,0.0003306419576230765,3.5487508955478394e-06,1.0303307502042491
14,0.003714710252600297,0.7428571428571429,0.00028864398034146046,0.0,2.1343894470161455
15,0.00024764735017335313,0.0,5.2591423276218314e-05,0.0,0.0
16,0.002228826151560178,0.6666666666666666,0.00013324305769198052,0.0,1.486995833803997
17,0.0032194155522535907,0.7307692307692307,0.00026000987429524483,0.0,2.055635016018861
18,0.00024764735017335313,0.0,5.2591423276218314e-05,0.0,0.0
19,0.00396235760277365,0.2833333333333333,0.00038064314056362173,0.0,2.4574557256734915
20,0.003714710252600297,0.6857142857142857,0.00029297537600066995,0.0,2.2174960306918696
21,0.016097077761267953,0.3490384615384615,0.0006928319433106635,0.0007462841140875098,1.0489792027496532
22,0.0027241208519068845,0.4727272727272727,0.00016385672869526872,3.6044641384512057e-06,1.7469305489511069
23,0.004210004952947003,0.16911764705882354,0.0004043263404882842,0.0,2.841024211020052
24,0.00396235760277365,0.9,0.00022824011209266327,0.0,1.8965075494258317
25,0.017087667161961365,0.2885763000852515,0.0008004126605197681,1.809391410362753e-05,1.1673328949204334
26,0.016840019811788013,0.4113257243195786,0.0006922746319436038,6.3188049020024155e-06,0.9788235830859883
27,0.0012382367508667657,0.9,9.900477693053426e-05,6.19425097442515e-07,1.346668280770765
