node,degree_centrality,clustering,pagerank,betweenness_centrality,local_heterogeneity,anomaly
0,5.786780604610729,-2.6282248295795774,23.32855455225385,10.492131547757543,2.2821595269731643,1
1,-0.5092332921763821,-0.8693940717192385,-0.04511260962232888,-0.0552715915472909,0.19285903024152826,0
2,-0.6427851021082299,1.321339000601155,-0.17174118594679852,-0.0552715915472909,0.7601803917184352,0
3,-0.5092332921763821,0.1250082445861922,-0.08518427062747513,-0.05508075147647683,-0.294982913797642,0
4,-0.6427851021082299,1.2177078013539993,-0.03511006989443839,-0.0552715915472909,1.3319247015578979,0
5,-0.585548612137438,-1.2694409805777453,-0.1746660513437547,-0.0552715915472909,0.3839386091565909,0
6,-0.7191004220692858,1.5286013990954674,-0.2608812693588716,-0.0552715915472909,0.7745799712473667,0
7,-0.45199680220559024,-0.8112819944324239,0.058265762146354455,-0.046432565941565564,0.25720334156235347,0
8,-0.6809427620887579,0.34054372201200017,-0.03943308199399118,-0.0552715915472909,1.2615661527116977,0
9,0.2539199074341767,-0.9714038849985184,1.3612966014929957,-0.05496610833398297,-0.5625626826928436,0
10,-0.6427851021082299,1.010445402859687,-0.43451292998745,-0.0552715915472909,-0.464884315632678,0
11,-0.8144945720206056,-2.823908969285086,-0.7528848029110872,-0.0552715915472909,-2.113001519333602,1
12,-0.8144945720206056,-2.823908969285086,-0.7528848029110872,-0.0552715915472909,-2.113001519333602,1
13,-0.24212967231268653,0.2148252279944248,0.3206834288901618,-0.054967885258003876,-0.6229346166934648,0
14,-0.54739095215691,0.6403339769769872,0.15852695501261746,-0.0552715915472909,0.9737578263548337,0
15,-0.8144945720206056,-2.823908969285086,-0.7528848029110872,-0.0552715915472909,-2.113001519333602,1
16,-0.6618639320984938,0.28502700812959486,-0.4414844570890618,-0.0552715915472909,0.037495567039752216,0
17,-0.585548612137438,0.5839631598040833,0.04796911462056385,-0.0552715915472909,0.8598629716763265,0
18,-0.8144945720206056,-2.823908969285086,-0.7528848029110872,-0.0552715915472909,-2.113001519333602,1
19,-0.5283121221666461,-1.5026111788838463,0.5137407149822232,-0.0552715915472909,1.4409770849191323,0
20,-0.54739095215691,0.3738537503414431,0.17525070916763869,-0.0552715915472909,1.0939467750998275,0
21,0.4065505473562884,-1.1962016234174957,1.719118657306892,0.0085962835768049,-0.5959651780759595,0
22,-0.623706272117966,-0.6193907307546758,-0.32328340876111195,-0.054963117252932694,0.4134138008798267,0
23,-0.5092332921763821,-2.035245063249744,0.6051828376389555,-0.0552715915472909,1.995694785810247,0
24,-0.5283121221666461,1.3731546002247335,-0.07469566468902868,-0.0552715915472909,0.6297324323089989,0
25,0.4828658673173443,-1.4781611069387055,2.134493656032888,-0.05372309302687206,-0.42480177304900213,0
26,0.46378703732708043,-0.9057309551251498,1.7169668478154898,-0.05473082076737411,-0.6974244103412429,0
27,-0.7381792520595497,1.3731546002247335,-0.5736803207773774,-0.05521858041650921,-0.16544649041300924,0
28,-0.585548612137438,0.7633248508087769,0.029472096879878423,-0.0552715915472909,0.9426471479924781,0
29,-0.585548612137438,-0.6715686772287681,-0.21635990139945227,-0.0552715915472909,0.20739325921246834,0
30,-0.5092332921763821,-0.49220698622407516,-0.13664111131871787,-0.05501932588049169,-0.28453565502982475,0
31,-0.3947603122347983,-0.7963420274929026,0.1999096502278701,-0.0552715915472909,-0.16164316042331497,0
32,-0.7191004220692858,1.8394949968369354,-0.38493424312129226,-0.0552715915472909,0.6074549123874056,0
33,-0.7954157420303417,1.8394949968369354,-0.6018036262375349,-0.0552715915472909,-0.6833744101176034,0
34,-0.7381792520595497,-0.02586658961187316,-0.5988557194960085,0.15566649967116825,-1.1721918251029169,1
35,-0.7954157420303417,1.8394949968369354,-0.6720149732849042,-0.0552715915472909,-0.7634810843573113,0
36,-0.623706272117966,1.6699166707961346,-0.24154469287720529,-0.0552715915472909,0.9435805353733397,0
37,-0.8144945720206056,-2.823908969285086,-0.7528848029110872,-0.0552715915472909,-2.113001519333602,1
38,-0.6618639320984938,-1.1399019815188003,-0.41052504938187884,-0.0552715915472909,0.18017125198916378,0
39,-0.54739095215691,-0.5144136717770371,-0.20425919586636274,-0.0552715915472909,-0.09605932788476973,0
40,0.0058951175607451075,-0.9358712113308214,0.957707704273667,-0.0552715915472909,-0.49692868962807857,0
41,-0.37568148224453435,-0.6442745068584887,0.840628793940923,-0.0552715915472909,1.3588692675856422,0
42,-0.7954157420303417,1.8394949968369354,-0.6018036262375349,-0.0552715915472909,-0.6833744101176034,0
43,-0.8144945720206056,-2.823908969285086,-0.7528848029110872,-0.0552715915472909,-2.113001519333602,1
44,-0.7191004220692858,1.8394949968369354,-0.4271992823197575,-0.0552715915472909,0.2745599242609334,0
45,-0.604627442127702,0.5676575515309297,-0.33970901324289793,-0.0552715915472909,-0.20428237943362004,0
46,-0.7381792520595497,1.8394949968369354,-0.4419456095609953,-0.0552715915472909,0.3244447857182884,0
47,-0.7954157420303417,1.8394949968369354,-0.6458988522528524,-0.0552715915472909,-0.6915910661324762,0
48,-0.4138391422250623,-1.2896288765349835,0.1742953986359566,-0.0552715915472909,0.1725826844647325,0
49,-0.7572580820498138,-0.49220698622407516,-0.35497810775164546,-0.0552715915472909,0.30754179353608024,0
50,-0.623706272117966,-0.19544491565267397,-0.36577084092529216,-0.0552715915472909,-0.030187350957351606,0
51,-0.7000215920790219,1.173294430248075,-0.4134074433381082,-0.0552715915472909,0.3019270600176648,0
52,-0.7954157420303417,1.8394949968369354,-0.6385830606216167,-0.0552715915472909,-0.707884321525605,0
53,-0.24212967231268653,-1.0387779887050432,0.647379682927892,-0.0552715915472909,0.5154038765421632,0
54,-0.6809427620887579,-0.15910670292964524,-0.4361234531965883,-0.0552715915472909,0.11820931408090864,0
55,-0.5092332921763821,1.0508310908015939,-0.19376605500684538,-0.0552715915472909,-0.6626249135799401,0
56,0.6545753372297203,-1.1980068871905947,2.147967842948911,0.01626491078115069,-0.6600171185970518,1
57,-0.54739095215691,-0.381173558459265,-0.1304426991020186,-0.0552715915472909,0.3937949828011545,0
58,-0.604627442127702,-1.55207152397908,-0.12960024319261643,7.292238281211022,0.03481025022989946,1
59,-0.4710756321958542,0.8031830043653752,-0.09130901455786915,-0.0552715915472909,-0.337788016158005,0
60,-0.6809427620887579,0.34054372201200017,-0.5006418947728414,-0.0552715915472909,-0.4704989823921262,0
61,-0.7763369120400778,0.28502700812959486,-0.5701048436669782,-0.0552715915472909,-0.24977933416702042,0
62,-0.3375238222640064,-0.38458997162125913,0.17966316574339708,-0.0552715915472909,-0.38192350113515355,0
63,-0.7191004220692858,1.8394949968369354,-0.5790114985726903,-0.0552715915472909,-0.5213338329531267,0
64,-0.7000215920790219,1.617428141307315,-0.4036456580011726,-0.05479202822680525,0.4048189984674131,0
65,-0.604627442127702,-0.49220698622407516,-0.3377326161599764,-0.0552715915472909,-0.12931186977272763,0
66,-0.54739095215691,1.2621211724599233,-0.26512346811248355,-0.0552715915472909,-0.6065984083831879,0
67,0.6164176772491922,-1.1385384131076535,2.026550100460855,0.009157351609230873,-0.6915536241167962,1
68,-0.6618639320984938,1.0622610024832653,-0.12628461887387651,-0.0552715915472909,1.0144674393574589,0
